ticker,current_price,base_dcf_value,mc_mean_iv,growth_rate,discount_rate,beta,revenue_growth,fcf_yield,dcf_over_price,mc_mean_over_price,mc_std_over_price,prob_undervalued,net_cash_per_share_over_price,margin_vs_undervalued_threshold,threshold_verdict,call_date
MMM,158.01,18.21905427428853,37.64932615213487,-0.1,0.07243,1.081,0.013,0.016939107433949184,0.11530317242129316,0.23827179388731645,0.08998138755111186,0.0006,-0.08868762952308037,-0.7617282061126835,OVERVALUED,2026-07-08
LMT,535.38,762.9320950707695,918.7744447952617,0.04051911024828336,0.064,0.8,0.003,0.055962798759836986,1.4250291289752504,1.7161164869723593,0.6223216713418813,0.9212,-0.15232607143885288,0.7161164869723593,UNDERVALUED,2026-07-08
RTX,200.85,272.53484764403834,326.9122146250252,0.1924114973812372,0.064,0.8,0.087,0.02753609276674518,1.3569073818473405,1.6276435878766502,0.7226807859531155,0.8212,-0.1187401541997215,0.6276435878766501,UNDERVALUED,2026-07-08
UPS,111.96,48.65408277726486,93.16770357629194,-0.1,0.0709,1.03,-0.016,0.05700626761715873,0.43456665574548825,0.832151693250196,0.3061167225658569,0.2336,-0.27348651902091164,-0.16784830674980397,OVERVALUED,2026-07-08
FDX,312.88,74.90971162723264,219.40480618872303,-0.00965078303809841,0.08011,1.337,0.125,0.039930195525830915,0.23941994255699514,0.7012426687187517,0.24615498050139872,0.1016,-0.39691767685673995,-0.2987573312812483,OVERVALUED,2026-07-08
T,21.09,111.24798308530826,145.39433386608897,0.16182694896604244,0.064,0.8,0.029,0.1326732507865773,5.274916220261179,6.893994019255048,3.0961455258873527,1.0,-1.0085063854075196,5.893994019255048,UNDERVALUED,2026-07-08
VZ,42.59,254.529431486871,329.12578905233784,0.23676515035658485,0.064,0.8,0.029,0.11064060925433344,5.976272164519159,7.727771520364823,3.4985400263975213,1.0,-1.082564076713772,6.727771520364822,UNDERVALUED,2026-07-08
TMO,516.62,219.62123673658186,353.4891863645017,-0.03074299981574713,0.06604,0.868,0.062,0.032778247156438414,0.42511175861674316,0.684234420588637,0.25433779411988483,0.1132,-0.20785253739229576,-0.31576557941136296,OVERVALUED,2026-07-08
ABBV,254.65,111.91255539022123,170.1403694460776,-0.09764361948343492,0.064,0.8,0.124,0.03959869717717142,0.4394759685459306,0.6681341819991267,0.2471350880082949,0.0966,-0.14118483289057698,-0.33186581800087334,OVERVALUED,2026-07-08
PFE,24.07,14.012841239928504,26.823408115433896,-0.1,0.064,0.8,0.054,0.06615124766042982,0.5821703880319279,1.1143916956972952,0.40433964857061594,0.5312,-0.37649719018542344,0.11439169569729521,FAIRLY VALUED,2026-07-08
MRK,128.86,72.31939549154181,97.321548324297,-0.05630542280676165,0.064,0.8,0.049,0.03883597960041533,0.5612245498334767,0.7552502586085441,0.2781102169941358,0.1776,-0.13641294797358514,-0.24474974139145594,OVERVALUED,2026-07-08
LLY,1235.56,191.97957475939353,255.38019162699646,0.09038703757109423,0.064,0.8,0.555,0.00541296055293515,0.1553785933175188,0.2066918576410668,0.07947077080332395,0.0,-0.03456888737619547,-0.7933081423589332,OVERVALUED,2026-07-08
BMY,57.97,147.28623015608414,178.3280832819669,0.02442373363500816,0.064,0.8,0.026,0.10850754006636965,2.540731933001279,3.07621327034616,1.1298279793948056,1.0,-0.30362682129622476,2.07621327034616,UNDERVALUED,2026-07-08
GILD,136.36,206.70786518145817,236.56312646840016,0.042584000699299684,0.064,0.8,0.044,0.055853360068436976,1.515898101946745,1.734842523235554,0.6647871126675281,0.9252,-0.07298857063194587,0.7348425232355539,UNDERVALUED,2026-07-08
AMGN,368.1,226.6385064144628,338.82169608643915,-0.02669769694613533,0.064,0.8,0.058,0.04077182254862026,0.6156981972683042,0.920461005396466,0.3312894263593892,0.3488,-0.22794469036326645,-0.07953899460353403,OVERVALUED,2026-07-08
SBUX,103.61,21.58225227703852,45.575470426848476,-0.01509365177616906,0.06906999999999999,0.969,0.088,0.020680138243929547,0.20830279197991045,0.4398752092157946,0.16308374114436228,0.0088,-0.19230496283431103,-0.5601247907842054,OVERVALUED,2026-07-08
LOW,220.9,298.4746212732183,409.5180844822124,0.0421346483675451,0.0655,0.85,0.103,0.061771262314470436,1.3511752886972308,1.8538618582264028,0.706659227699476,0.9636,-0.33723506942639236,0.8538618582264027,UNDERVALUED,2026-07-08
CMG,34.35,50.996156667018695,61.94071856773389,0.19701190502328325,0.06892,0.964,0.074,0.03285354413198887,1.4846042697822035,1.8032232479689632,0.8140129612902554,0.8912,-0.09927979754142721,0.8032232479689632,UNDERVALUED,2026-07-08
BKNG,181.95,406.74515241165363,461.92477034732735,0.13676371886731986,0.07225000000000001,1.075,0.162,0.06445177658604652,2.2354776169917763,2.538745646316721,1.0878172198434797,0.9948,-0.022356325938219374,1.538745646316721,UNDERVALUED,2026-07-08
ABT,95.84,76.20029575185958,99.74534370538703,-0.017784072013788288,0.064,0.8,0.078,0.044298580230829186,0.7950782111003712,1.040748577894272,0.3749351261246699,0.4536,-0.16078677644644357,0.04074857789427197,FAIRLY VALUED,2026-07-08
JNJ,267.24,211.60345803542634,244.9351822947287,0.039680905732483396,0.064,0.8,0.099,0.03002154515719978,0.7918105748968206,0.9165363803873996,0.33628159211428665,0.3378,-0.05119813894323127,-0.08346361961260035,OVERVALUED,2026-07-08
PG,152.75,138.49376561106482,160.9797198719265,0.0115848859193739,0.064,0.8,0.074,0.03948343234066272,0.9066694966354488,1.0538770531713684,0.37946823629421145,0.468,-0.06949804100628147,0.05387705317136828,FAIRLY VALUED,2026-07-08
TCS.NS,2080.4,4385.670839061701,4701.393841748613,0.07251639943779664,0.064,0.8,0.096,0.0637007555855948,2.108090193742406,2.2598509141264245,0.8503301804836859,0.991,0.039586456439655436,1.2598509141264242,UNDERVALUED,2026-07-08
INFY.NS,1073.5,40.231039971719575,43.634372697893156,0.13784680172214703,0.064,0.8,0.066,0.0008588471836436551,0.03747651604258927,0.0406468306454524,0.016673183029813653,0.0,0.0006301586729353153,-0.9593531693545475,OVERVALUED,2026-07-08
HDFCBANK.NS,825.75,5079.923365110964,5437.261438159157,0.2673846108688158,0.064,0.8,-0.018,0.08879221603464589,6.1518902393108865,6.584633894228467,2.9184335113187743,1.0,-0.2174619529660776,5.584633894228467,UNDERVALUED,2026-07-08
HINDUNILVR.NS,2168.0,1130.3362798673431,1199.5449643850834,0.030824031721338185,0.064,0.8,0.043,0.018920618354425753,0.5213728228170402,0.5532956477790976,0.20434773316632546,0.0334,0.01082664561805789,-0.4467043522209025,OVERVALUED,2026-07-08
ITC.NS,283.9,326.5225473312419,335.6248649987153,0.0030249075396249214,0.064,0.8,-0.05,0.04577140542819379,1.1501322554816553,1.1821939591360173,0.42583574185747686,0.5838,0.062161622151936956,0.1821939591360173,UNDERVALUED,2026-07-08
LT.NS,3968.9,901.5879385761536,1448.1996675671276,-0.1,0.064,0.8,0.117,0.021852550482471728,0.2271631783557544,0.36488691263753875,0.13474224809063154,0.0012,-0.08952520455187443,-0.6351130873624613,OVERVALUED,2026-07-08
BHARTIARTL.NS,1895.8,7931.853248352259,8798.710545541442,0.2504107252770602,0.064,0.8,0.157,0.06412506282759282,4.18390824367141,4.64115969276371,2.0539403822613806,0.9998,-0.1279767300403296,3.6411596927637104,UNDERVALUED,2026-07-08
ASIANPAINT.NS,2690.2,4248.104580426617,4298.583655848564,0.2679111244732988,0.064,0.8,0.106,0.021717641343184584,1.5791036281416315,1.5978676885913927,0.7088011303670868,0.8098,0.018118689849762157,0.5978676885913927,UNDERVALUED,2026-07-08
MARUTI.NS,14270.0,22981.970220792264,21626.58256388579,0.3,0.064,0.8,0.282,0.019396527427809677,1.6105094758789253,1.5155278601181352,0.6508472207938057,0.7824,0.03843353333891802,0.5155278601181352,UNDERVALUED,2026-07-08
WIPRO.NS,174.84,430.4891049346137,427.8940659780547,0.04921128054384649,0.064,0.8,0.077,0.07731510380859855,2.462188886608406,2.4473465224093727,0.8872223337411572,0.9986,0.1967816388286888,1.4473465224093724,UNDERVALUED,2026-07-08
HCLTECH.NS,1160.1,1955.8848314532354,2115.2105866016077,0.04307732646633822,0.064,0.8,0.053,0.05910556428687575,1.6859622717466043,1.8233002211892146,0.675322591521438,0.9516,0.0008458215350557809,0.8233002211892146,UNDERVALUED,2026-07-08
ULTRACEMCO.NS,11511.0,12365.28919864373,13918.008080448646,0.2526529440608578,0.064,0.8,0.03,0.016650263414221385,1.0742150289847736,1.2091050369601812,0.5321033454057095,0.5862,-0.05503275878035827,0.20910503696018123,UNDERVALUED,2026-07-08
SUNPHARMA.NS,1894.2,3092.2676263975936,2916.162862887515,0.3,0.064,0.8,0.128,0.019384286766327623,1.6324926757457467,1.5395221533563062,0.6549103392704985,0.7934,0.06140883086385503,0.539522153356306,UNDERVALUED,2026-07-08
TITAN.NS,4598.1,3981.75119293857,4129.969424294775,0.3,0.064,0.8,0.805,0.011493794058520745,0.8659557628017158,0.898190431764158,0.3817608071109417,0.33,-0.06560877601378515,-0.10180956823584199,OVERVALUED,2026-07-08
NESTLEIND.NS,1465.7,,,-0.1,0.064,0.8,0.23,,,,,0.0,0.003099460754337512,,FAIRLY VALUED,2026-07-08
TATASTEEL.NS,188.98,1266.490214633443,1281.437863576711,0.3,0.064,0.8,0.125,0.08700051369675495,6.701715602886248,6.780812062528897,2.8780999788735095,1.0,-0.3496194920336565,5.780812062528897,UNDERVALUED,2026-07-08
POWERGRID.NS,283.05,-96.39192703693789,65.26876090049704,-0.1,0.064,0.8,-0.05,0.013870542030544991,-0.3405473486554951,0.23059092351350305,0.08439235407922412,0.0002,-0.5415600189718958,-0.7694090764864969,OVERVALUED,2026-07-08
NTPC.NS,350.8,-11.699444386562703,117.64364621629058,-0.1,0.064,0.8,0.08,0.02014360647078354,-0.03335075366751056,0.3353581705139412,0.11938096311990978,0.0,-0.3252730244467031,-0.6646418294860589,OVERVALUED,2026-07-08
